Name (Please put name if doing premade run,Personal #,PACE Computer # (if in pace),Second AoA,Second Gap Size,Second Gap Angle,Third AoA,Third Gap Size,Third Gap Angle,Downforce,Drag Force,L/D,Rel Diff %,,
Baseline Run,,,18,23.73,128.6,36,8.95,65.61,85.7304,12.1186,7.074282508,,7.095141537,-2.085902928
Brendan,,,15,40,128.6,36,8.95,65.61,79.344839,10.896043,7.281986589,2.936044482,7.274154557,0.7832032108
Viktor ,,,16,23.73,128.6,36,8.95,65.61,84.370237,11.795878,7.152518617,1.105922885,7.119516307,3.300231018
Viktor ,,,17,23.73,128.6,36,8.95,65.61,84.841078,11.923125,7.115674624,0.5851069132,7.109594231,0.6080393165
Viktor ,,,19,23.73,128.6,36,8.95,65.61,86.273171,12.204037,7.069232173,-0.07139006602,7.076158226,-0.6926053287
Brendan,,,20,23.73,128.6,36,8.95,65.61,79.007064,11.181,7.066189428,-0.1144014164,7.052644298,1.35451306
Brendan,,,18,21.73,128.6,36,8.95,65.61,79.193301,11.168846,7.090553581,0.230003156,7.084371507,0.6182074149
Brendan,,,18,22.73,128.6,36,8.95,65.61,79.470225,11.185465,7.104776154,0.4310493083,7.089755996,1.502015733
Brendan,,,18,24.73,128.6,36,8.95,65.61,79.470225,11.185465,7.104776154,0.4310493083,7.100528129,0.4248024548
Viktor,,,18,25.73,128.6,36,8.95,65.61,85.79555,12.130728,7.072580475,-0.02405944216,7.105915772,-3.333529736
Viktor,,,18,23.73,124.6,36,8.95,65.61,85.463714,12.106019,7.059605144,-0.2074749537,7.072036074,-1.243092998
Viktor,,,18,23.73,126.6,36,8.95,65.61,85.222216,12.047029,7.074127239,-0.002194833297,7.084237714,-1.011047467
Viktor,,,18,23.73,134.6,36,8.95,65.61,85.200532,11.975776,7.114405947,0.5671732723,7.120066105,-0.5660157577
Brendan,,,18,23.73,128.6,34,8.95,65.61,78.14288,10.813793,7.226223028,2.147787005,7.218037824,0.8185203899
Brendan,,,18,23.73,128.6,35,8.95,65.61,78.875226,11.000275,7.170295834,1.357216446,7.162311147,0.7984686531
Brendan,,,18,23.73,128.6,37,8.95,65.61,80.038171,11.380534,7.03290118,-0.5849544124,7.016528995,1.637218527
Logan,,,18,23.73,128.6,38,8.95,65.61,80.092786,11.568574,6.92330671,-2.134149967,6.92647352,-0.3166810275
Viktor,,,18,23.73,128.6,36,10.95,65.61,85.651877,12.099993,7.078671616,0.06204315243,7.089071746,-1.040013041
Viktor,,,18,23.73,128.6,36,8.95,61.61,84.991151,12.009975,7.076713399,0.03436236496,7.08608107,-0.9367671071
Viktor,,,18,23.73,128.6,36,8.95,63.61,85.40188,12.014251,7.108381538,0.4820139707,7.092179301,1.620223705
Viktor,,,18,23.73,128.6,36,8.95,67.61,85.468963,12.094913,7.06652152,-0.1097070639,7.094967779,-2.844625843
Viktor,,,18,23.73,128.6,36,8.95,69.61,85.392044,12.085365,7.06573976,-0.1207577931,7.091658025,-2.591826495
Viktor,,,21.52297093,22.02731352,126.086474,32.95762453,5.90497445,71.00076937,85.00962,11.780282,7.216263584,2.00700319,7.219442327,-0.3178743624
Viktor,,,18.07013959,15.80460233,132.6092848,36.36713769,10.65495968,58.52295757,84.141174,11.984901,7.020598168,-0.7588662197,7.01392243,0.667573751
Viktor,,,16.4474293,25.09933997,128.9045587,35.34154979,9.853218115,69.54934453,84.593873,11.819174,7.157342214,1.174107842,7.150274667,0.7067546619
Viktor,,,18.6848628,30.92144336,134.2856793,35.996476,10.43034038,64.72558496,86.770115,12.244427,7.086498617,0.1726833638,7.092040788,-0.5542170767
Viktor,,,20.07361617,19.1874173,134.9927716,34.88240717,9.517839515,62.74857838,85.246773,12.053394,7.072428977,-0.02620096968,7.059600264,1.282871345
Viktor,,,19.23203272,18.95706553,119.932649,34.72149289,5.453042644,60.32517227,83.888207,11.845542,7.081837792,0.1067992961,7.070155895,1.168189638
Viktor,,,15.11463301,28.23441021,131.2747413,30.63936471,8.108614392,63.21029859,81.198531,10.826228,7.500168203,6.020196314,7.519974063,-1.980586035
Viktor,,,21.87367552,21.55571674,116.7138625,34.08511303,6.715865319,64.29463397,85.738775,12.161454,7.050043112,-0.3426410556,7.057508785,-0.7465673658
Viktor,,,19.6333066,27.868167,122.6039884,39.42630676,8.551558626,61.35182386,88.612856,13.038079,6.796465645,-3.927138372,6.75764368,3.882196504
Viktor,,,17.31983985,29.08017139,129.7337317,37.07642844,7.008591739,69.09324426,86.429208,12.147849,7.11477464,0.5723850076,7.105712285,0.9062354857
Viktor,,,18.48914908,23.25222999,118.0371478,37.69829837,9.323169931,67.30411862,86.342285,12.530784,6.890413641,-2.599116831,6.876457314,1.395632606
Viktor,,,17.78192318,23.88461592,130.2275833,38.78018038,6.238084327,66.3417454,86.194608,12.404057,6.94890454,-1.77230649,6.936677554,1.22269855
Will,,,18.25112374,28.67102302,125.049438,37.86053558,11.2622194,66.65593064,80.953819,11.70696,6.915016281,-2.251341062,6.937743868,-2.27275873
Will,,,14.79254754,34.18884751,127.8325477,33.28953896,7.68099266,60.85895802,77.408297,10.318189,7.502120479,6.04779312,7.494893329,0.7227149822
Will,,,16.80484045,32.6420473,115.8856584,35.21728583,9.634883434,65.25276757,79.226406,11.067611,7.158401754,1.189085204,7.14839426,1.000749427
Will,,,15.89553202,32.35963448,117.0887991,32.45271152,5.608637946,71.65042692,76.696652,10.251285,7.48166225,5.758601552,7.484801561,-0.3139310387
Keegan,,,19.418074,30.29386342,118.8258827,30.46159004,10.23198925,62.59041394,84.117909,11.349773,7.411417744,4.76564564,7.406220974,0.5196769778
Keegan,,,20.72335042,25.81889714,123.9172647,39.74277448,8.675545915,57.39242251,88.694619,13.193728,6.722483516,-4.972928224,6.744753099,-2.226958212
Keegan,,,17.42310955,24.10930399,129.4859332,36.99772878,11.76218046,70.81395163,85.93999,12.260546,7.009474945,-0.9161008587,6.983527909,2.594703604
Keegan,,,20.34899648,17.93225642,133.5223151,31.85088706,7.165582545,70.13607934,83.2842,11.421842,7.291661012,3.072799315,7.278535984,1.312502838
Keegan,,,16.01819003,27.04896524,124.6598546,31.59773767,7.906160859,61.6511225,82.064725,11.162071,7.352105626,3.927226798,7.357146255,-0.5040628321
Viktor,,,17.82108791,31.85518196,116.0697189,36.52026914,6.223659072,60.65991483,85.529949,12.126225,7.053303811,-0.296548764,7.065022114,-1.171830336
Viktor,,,16.72029657,20.75022104,121.5304532,33.06660639,11.90457514,68.22363931,82.588763,11.601657,7.118704078,0.6279303984,7.141216119,-2.251204109
Viktor,,,20.874996,31.10820481,128.159903,30.92471326,8.235905684,64.01248454,84.719804,11.500098,7.3668767,4.136026395,7.360504195,0.6372505121
Matt,,,20.42109762,22.92509413,120.8716542,31.43545924,10.06705583,67.0962338,84.657895,11.658448,7.26150642,2.646542769,7.263607783,-0.2101362988
Viktor,,,14.55716684,20.15169026,124.0571909,38.31678641,8.877697295,57.99207259,83.41868,12.106911,6.890170416,-2.602554984,6.902303055,-1.213263903
Viktor,,,15.79922817,18.43549348,133.0399786,39.22080981,7.616556264,68.95049592,84.132267,12.15767,6.92009793,-2.17950835,6.931743535,-1.164560513
Viktor,,,19.82388371,26.52702686,126.8499683,30.06348961,10.36964391,71.56568264,83.680367,11.295777,7.408110748,4.718898909,7.413716941,-0.5606193469
Viktor,,,15.55297567,21.05679408,125.9633045,35.54755272,11.3379016,58.47669486,83.146051,11.760339,7.070038627,-0.05999026174,7.059379688,1.065893924
Viktor,,,14.15102708,33.74249769,122.1163006,36.06369158,6.75482999,68.3618087,83.772921,11.626239,7.205504807,1.854920253,7.230113654,-2.460884715
Viktor,,,18,23.73,132.6,36,8.95,65.61,85.165544,11.995757,7.099638981,7.1131,-0.1896014622,
Viktor,,,14.26993095,26.05815564,127.1238785,34.33718783,5.334728619,65.75587995,85.149389,11.298924,7.536061752,7.5112,0.3299037779,
Viktor,,,21.31122693,16.42381682,131.5504591,37.36130942,5.09401317,62.06608761,86.048178,12.430927,6.922104683,6.9179,0.06074283955,
Viktor,,,18.88648054,17.16146897,130.5412881,33.87610638,5.831813689,64.94492069,82.630876,11.467803,7.205466993,7.2356,-0.4181964461,
Viktor,,,17.07181659,24.66029563,123.4575239,32.16571417,9.097368786,70.09256936,83.334047,11.374233,7.326564086,7.2915,0.478588398,