Name (Please put name if doing premade run,Personal #,PACE Computer # (if in pace),Second AoA,Second Gap Size,Second Gap Angle,Third AoA,Third Gap Size,Third Gap Angle,,,
Baseline Run,,,18,23.73,128.6,36,8.95,65.61,85.7304,12.1186,7.074282508
Brendan,,,15,40,128.6,36,8.95,65.61,79.344839,10.896043,7.281986589
Viktor ,,,16,23.73,128.6,36,8.95,65.61,84.370237,11.795878,7.152518617
Viktor ,,,17,23.73,128.6,36,8.95,65.61,84.841078,11.923125,7.115674624
Viktor ,,,19,23.73,128.6,36,8.95,65.61,86.273171,12.204037,7.069232173
Brendan,,,20,23.73,128.6,36,8.95,65.61,79.007064,11.181,7.066189428
Brendan,,,18,21.73,128.6,36,8.95,65.61,79.193301,11.168846,7.090553581
Brendan,,,18,22.73,128.6,36,8.95,65.61,79.470225,11.185465,7.104776154
Brendan,,,18,24.73,128.6,36,8.95,65.61,79.470225,11.185465,7.104776154
Viktor,,,18,25.73,128.6,36,8.95,65.61,85.79555,12.130728,7.072580475
Viktor,,,18,23.73,124.6,36,8.95,65.61,85.463714,12.106019,7.059605144
Viktor,,,18,23.73,126.6,36,8.95,65.61,85.222216,12.047029,7.074127239
Viktor,,,18,23.73,134.6,36,8.95,65.61,85.200532,11.975776,7.114405947
Brendan,,,18,23.73,128.6,34,8.95,65.61,78.14288,10.813793,7.226223028
Brendan,,,18,23.73,128.6,35,8.95,65.61,78.875226,11.000275,7.170295834
Brendan,,,18,23.73,128.6,37,8.95,65.61,80.038171,11.380534,7.03290118
Logan,,,18,23.73,128.6,38,8.95,65.61,80.092786,11.568574,6.92330671
Viktor,,,18,23.73,128.6,36,10.95,65.61,85.651877,12.099993,7.078671616
Viktor,,,18,23.73,128.6,36,8.95,61.61,84.991151,12.009975,7.076713399
Viktor,,,18,23.73,128.6,36,8.95,63.61,85.40188,12.014251,7.108381538
Viktor,,,18,23.73,128.6,36,8.95,67.61,85.468963,12.094913,7.06652152
Viktor,,,18,23.73,128.6,36,8.95,69.61,85.392044,12.085365,7.06573976
Viktor,,,21.52297093,22.02731352,126.086474,32.95762453,5.90497445,71.00076937,85.00962,11.780282,7.216263584
Viktor,,,18.07013959,15.80460233,132.6092848,36.36713769,10.65495968,58.52295757,84.141174,11.984901,7.020598168
Viktor,,,16.4474293,25.09933997,128.9045587,35.34154979,9.853218115,69.54934453,84.593873,11.819174,7.157342214
Viktor,,,18.6848628,30.92144336,134.2856793,35.996476,10.43034038,64.72558496,86.770115,12.244427,7.086498617
Viktor,,,20.07361617,19.1874173,134.9927716,34.88240717,9.517839515,62.74857838,85.246773,12.053394,7.072428977
Viktor,,,19.23203272,18.95706553,119.932649,34.72149289,5.453042644,60.32517227,83.888207,11.845542,7.081837792
Viktor,,,15.11463301,28.23441021,131.2747413,30.63936471,8.108614392,63.21029859,81.198531,10.826228,7.500168203
Viktor,,,21.87367552,21.55571674,116.7138625,34.08511303,6.715865319,64.29463397,85.738775,12.161454,7.050043112
Viktor,,,19.6333066,27.868167,122.6039884,39.42630676,8.551558626,61.35182386,88.612856,13.038079,6.796465645
Viktor,,,17.31983985,29.08017139,129.7337317,37.07642844,7.008591739,69.09324426,86.429208,12.147849,7.11477464
Viktor,,,18.48914908,23.25222999,118.0371478,37.69829837,9.323169931,67.30411862,86.342285,12.530784,6.890413641
Viktor,,,17.78192318,23.88461592,130.2275833,38.78018038,6.238084327,66.3417454,86.194608,12.404057,6.94890454
Will,,,18.25112374,28.67102302,125.049438,37.86053558,11.2622194,66.65593064,80.953819,11.70696,6.915016281
Will,,,14.79254754,34.18884751,127.8325477,33.28953896,7.68099266,60.85895802,77.408297,10.318189,7.502120479
Will,,,16.80484045,32.6420473,115.8856584,35.21728583,9.634883434,65.25276757,79.226406,11.067611,7.158401754
Will,,,15.89553202,32.35963448,117.0887991,32.45271152,5.608637946,71.65042692,76.696652,10.251285,7.48166225
Keegan,,,19.418074,30.29386342,118.8258827,30.46159004,10.23198925,62.59041394,84.117909,11.349773,7.411417744
Keegan,,,20.72335042,25.81889714,123.9172647,39.74277448,8.675545915,57.39242251,88.694619,13.193728,6.722483516
Keegan,,,17.42310955,24.10930399,129.4859332,36.99772878,11.76218046,70.81395163,85.93999,12.260546,7.009474945
Keegan,,,20.34899648,17.93225642,133.5223151,31.85088706,7.165582545,70.13607934,83.2842,11.421842,7.291661012
Keegan,,,16.01819003,27.04896524,124.6598546,31.59773767,7.906160859,61.6511225,82.064725,11.162071,7.352105626
Viktor,,,17.82108791,31.85518196,116.0697189,36.52026914,6.223659072,60.65991483,85.529949,12.126225,7.053303811
Viktor,,,16.72029657,20.75022104,121.5304532,33.06660639,11.90457514,68.22363931,82.588763,11.601657,7.118704078
Viktor,,,20.874996,31.10820481,128.159903,30.92471326,8.235905684,64.01248454,84.719804,11.500098,7.3668767
Matt,,,20.42109762,22.92509413,120.8716542,31.43545924,10.06705583,67.0962338,84.657895,11.658448,7.26150642
Viktor,,,14.55716684,20.15169026,124.0571909,38.31678641,8.877697295,57.99207259,83.41868,12.106911,6.890170416
Viktor,,,15.79922817,18.43549348,133.0399786,39.22080981,7.616556264,68.95049592,84.132267,12.15767,6.92009793
Viktor,,,19.82388371,26.52702686,126.8499683,30.06348961,10.36964391,71.56568264,83.680367,11.295777,7.408110748
Viktor,,,15.55297567,21.05679408,125.9633045,35.54755272,11.3379016,58.47669486,83.146051,11.760339,7.070038627
Viktor,,,14.15102708,33.74249769,122.1163006,36.06369158,6.75482999,68.3618087,83.772921,11.626239,7.205504807
Viktor,,,18,23.73,132.6,36,8.95,65.61,85.165544,11.995757,7.099638981
Viktor,,,14.26993095,26.05815564,127.1238785,34.33718783,5.334728619,65.75587995,85.149389,11.298924,7.536061752
Viktor,,,21.31122693,16.42381682,131.5504591,37.36130942,5.09401317,62.06608761,86.048178,12.430927,6.922104683
Viktor,,,18.88648054,17.16146897,130.5412881,33.87610638,5.831813689,64.94492069,82.630876,11.467803,7.205466993
Viktor,,,17.07181659,24.66029563,123.4575239,32.16571417,9.097368786,70.09256936,83.334047,11.374233,7.326564086
Viktor,,,14.86658964,11.79538395,12.86200891,61.39936763,17.56634321,90.77221878,68.60106,11.67854,5.874112689
Viktor,,,7.70180278,19.54614178,91.98992721,52.65699836,17.37637091,92.40824663,71.842741,11.132769,6.453267916
Viktor,,,5.795123508,14.91261838,72.88401891,56.96969601,8.190183351,92.27539714,71.746788,11.72153,6.120940526
Viktor,,,0.3419523655,23.02615942,82.43330813,67.57438032,14.45455045,41.77100631,47.695022,8.5063084,5.607017728
Viktor,,,14.78898863,17.25549036,69.83637324,55.56688606,3.696232425,97.91623653,85.663568,14.913091,5.744185964
Viktor,,,20.39188666,11.34558167,77.37602069,48.20561116,8.522373886,91.14274318,88.98783,14.794824,6.014794769
Viktor - oscillations,,,3.380229424,8.337942326,63.03771437,67.83054008,18.12987054,59.26637324,45.6598,9.1321,4.999923347
Viktor,,,7.864955036,17.83958008,88.88345553,56.23013074,22.70732789,91.71866264,64.668192,10.041457,6.440120393
Viktor,,,12.25418488,14.75181933,39.1455779,73.22668385,4.031618364,48.39152653,65.708655,11.68224,5.624662308
Viktor,,,15.04398052,12.21537954,96.5327812,55.7056155,15.48567274,57.58436907,78.94408,12.878754,6.129791748
Viktor,,,8.806128082,8.723909924,44.31135465,64.7772883,11.45288883,83.42555008,62.274612,10.609027,5.869964512
Viktor,,,11.30605757,8.083651442,95.4204589,62.3737723,6.561169412,35.55809549,65.20673,10.699634,6.094295375
Viktor,,,7.966580763,10.01662829,89.57210298,71.09709081,13.90451913,56.63549073,58.801753,10.26725,5.72711807
Viktor,,,7.88589613,11.83644286,93.48362124,74.11320911,22.62927182,24.72309202,51.399129,9.4179493,5.457571215
Viktor,,,8.195086317,15.72639186,94.54642993,61.04672523,14.42627735,69.63383011,64.511433,10.46173,6.166421137
Viktor,,,1.026328245,9.307967402,81.49430019,64.25818762,22.90076978,99.54909927,51.038625,8.718507,5.854055631
Viktor,,,4.6304207,27.45236858,87.4843762,57.05039381,15.78159494,97.75711591,64.702323,9.9745585,6.486735528
Viktor,,,4.658439461,29.30531033,95.27515228,49.69533089,15.41372279,99.31788288,72.94421,10.912653,6.684369969
Viktor,,,8.118676371,17.1460581,76.05980577,60.54108291,8.697233778,66.9765279,66.383006,10.709326,6.198616608
Viktor,,,14.89251744,13.49532665,70.19906928,68.97297158,7.452187817,18.22862642,67.3229,11.457483,5.875889146
Viktor,,,3.756893011,6.5069822,46.72294027,67.92203437,20.48615023,98.39680658,46.219024,8.3784441,5.516420883
Viktor - oscillations,,,3.568994406,12.28572514,61.35338316,63.45385104,5.242502017,49.3472591,55.1615,9.25435,5.960602311
Viktor,,,5.842840883,13.72805463,80.88074569,55.27490709,20.29630604,94.48383926,61.436025,9.5372979,6.441659435
Viktor,,,10.99660202,23.81081829,98.68477363,58.0704913,6.787682132,80.04711107,84.431138,14.007926,6.027383211
Viktor,,,5.598593455,15.53880509,37.88835555,70.0295726,8.117641951,52.17170553,55.129488,9.7828435,5.635323513
Viktor,,,23.71865436,9.686326331,78.27400714,49.45014696,4.718397152,17.90538748,88.566526,14.59243,6.069347326
Viktor,,,15.37132484,9.045121252,22.51192043,71.95951384,13.54246262,48.67151562,63.72616,11.284759,5.647099774
Viktor,,,4.054768699,10.77880477,65.28925409,71.5141059,18.06187614,88.07617243,55.282908,9.8209156,5.629099185
Viktor,,,5.405631683,6.832690796,97.19325192,65.29509333,25.28001256,84.50898473,55.71388,9.6092247,5.797957873
Viktor,,,7.157586655,7.07894934,85.51491055,74.52165708,24.83490626,69.3534474,54.78235,9.709217,5.642303597
Viktor,,,3.744513668,8.549608402,81.59632595,68.00965773,26.63097144,58.69889759,48.772409,8.7729879,5.55938405
Viktor,,,16.05505479,9.899885895,75.80049333,66.7249819,16.59026035,25.28579614,66.086127,11.132149,5.93651118
Viktor,,,8.719257201,13.10367383,41.01367729,71.64096047,17.02251836,95.85391489,61.444254,10.760904,5.709952807
Viktor - oscillations,,,12.42909013,17.61830981,77.46161427,70.24407038,15.56713557,13.8108716,61.896,10.8254,5.717664012
Viktor,,,6.471288443,19.25167362,94.26023337,57.39631991,12.11700678,90.9817841,68.218443,10.852984,6.285685393
Viktor,,,15.32643223,8.584679012,13.85090123,63.49083162,9.624336234,75.02276584,71.549729,12.519712,5.714966047
Viktor,,,3.248787869,18.25790337,91.55945216,57.98209745,18.35780376,84.43225217,57.856365,9.0756656,6.374889463
Viktor,,,14.07310162,19.76840414,67.55499513,68.1196453,5.004811653,37.83688263,70.939315,12.084373,5.87033477
Viktor,,,0.6704825347,11.64271214,93.95460599,72.7063763,16.01326303,67.27931396,47.666476,8.8490014,5.386650295
Viktor,,,0.2747338769,12.34850621,91.3125057,65.46728503,6.04196186,50.48130735,48.33258,8.4318307,5.732157312
Viktor,,,7.800231156,23.7797448,96.7622039,55.17578419,14.68005873,79.73477009,69.790783,10.778471,6.475017004
Viktor,,,3.890291726,26.3888197,45.23234772,68.71985115,22.59736279,98.44566586,56.106972,9.5295576,5.887678563
Viktor,,,3.487070823,15.77306186,47.9208757,67.04246173,30.0376525,91.79294041,52.948938,9.07365,5.835461804
Viktor,,,20.47131707,7.68675239,90.22487789,61.58025875,6.776283916,13.00246756,80.379482,13.689868,5.871457782
Viktor,,,14.47813655,15.81803559,13.97892752,70.80258967,7.250442615,64.33957542,66.074839,11.912838,5.546523759
Viktor,,,10.70362502,8.394702208,46.34591933,64.93313029,21.83758177,93.9957186,63.255141,10.709136,5.906652133
Viktor,,,15.77176564,14.48546072,99.73816951,57.17046687,8.422317416,39.93459799,84.35472,14.040817,6.00782134
Viktor,,,10.33798961,11.60883909,73.5216304,59.92181855,5.322374871,91.33294568,80.068407,13.946382,5.74115975
Viktor,,,3.944882726,18.19498444,54.34318255,74.02166657,5.442176083,42.84928646,54.604129,9.7630355,5.592945862
Viktor - oscillations,,,11.96625567,13.30740861,16.39433483,69.62080809,22.75732114,72.56258553,61.0404,10.9012,5.599420247
Viktor - oscillations,,,0.9756650797,11.23047212,58.6925857,66.23257135,22.17463166,88.19233585,49.53332,8.7712,5.647268333
Viktor,,,2.196937585,26.13832531,99.94093849,64.51260205,11.33233809,89.90860002,60.870291,9.8457752,6.182376681
Viktor,,,2.684509602,10.26741242,73.39153891,66.67846236,33.3414697,80.79055476,50.166138,8.7611879,5.725951614
Viktor,,,2.440990389,22.05805857,41.282467,71.47734077,6.83806697,76.85149466,54.059083,9.5518723,5.6595274
Viktor,,,10.64127308,8.128215485,39.07196373,74.6038271,4.64054147,38.95561275,61.95004,11.196472,5.532996465
Viktor,,,10.12854405,6.718970404,88.80134968,72.85114821,19.8396597,69.19675865,60.084729,10.433739,5.758695804
Viktor,,,6.694303882,10.14094852,95.25879852,68.66157918,21.72265304,80.1515317,58.346591,9.8291624,5.936069486
Viktor,,,10.51806857,17.11163333,84.27969146,69.72580955,6.162186941,68.92347243,68.625149,11.679363,5.875761289
Viktor,,,11.92883643,11.09850841,14.73699982,72.99068448,6.015480231,28.31912782,60.735197,11.043294,5.499735586
Viktor,,,0.0299288507,13.0091637,95.65400516,67.18346211,4.352349281,29.09683383,45.974971,8.2179969,5.594425449
Viktor,,,22.77705414,8.871985049,92.13055531,49.26557023,7.010155147,17.40776769,88.113344,14.396963,6.120273005
Viktor,,,9.503383957,20.6784403,98.64346768,69.48171265,10.97511649,67.96897532,67.010581,11.178319,5.994692136
Viktor,,,1.60532318,18.67046315,90.53835252,63.14138172,14.76555309,94.07803684,56.309668,9.175555,6.13692229
Viktor,,,5.212119445,20.35380353,90.98380041,68.79601331,14.5344285,76.03795325,60.262234,9.9995907,6.026470063
Viktor,,,3.635875277,12.47765953,87.31670476,72.47533042,19.84736728,39.1068397,-47.616219,8.8619714,5.373095539
Viktor,,,2.316094578,28.29997287,67.45819493,69.10689621,12.17896263,73.60540146,55.560496,9.5136991,5.840051847
Viktor,,PACE 12 (c4),15.99287264,13.53861725,21.48304076,66.09499879,10.40332313,91.57934164,72.838393,13.04515,5.58356117
Viktor,,,1.2383515,17.4727517,64.98753607,67.00316111,24.62979475,99.10641126,53.157642,9.2524115,5.7452743
Viktor,,,9.159039953,13.80181572,53.82921024,67.48241431,4.587789893,49.83455537,64.64707,11.050045,5.85038975
Viktor,,PACE 16 (c8),16.088,34.825,134.7698,30.001,6.1741,69.8744,82.156349,10.573663,7.769904242
Viktor,,PACE 18 (c9),16.1282,34.997,134.916,30.00048,6.2119,69.9705,82.121563,10.625672,7.728599471