Run Set,Run #,Runner,Status,Remoted Computer,MW2 AoA (*),MW2 Move X (mm),MW2 Move Z (mm),Car Lift (N),Car Drag (N),Car L/D,Mw Lift (N),Mw Drag (N),MW L/D ,RW Lift (N),RW Drag (N),RW L/D,Mass Flow (kg/s),CoP,Iterations,Time/Iter (s),Total Time (hr),Notes
Baseline,1,Viktor,Complete,,38,19.05,22.86,319.6517,155.8199,2.051417694,53.31642,149.6727,0.3562200722,145.8618,67.80922,2.151061463,0.095,678.6064,2200,55.8,10.85,
OLHS,2,Viktor,Complete,,39.9,19.55,25.15,319.0212,157.0027,2.031947221,53.62083,15.67161,3.421526569,147.2211,68.71678,2.142433042,0.0938,681.6995,2100,55.8,9.3,
OLHS,3,Viktor,Complete,,37.19,23.29,22.99,318.2661,156.5599,2.032871125,52.01652,14.61716,3.558592777,148.6907,68.61331,2.167082451,0.095,679.2046,2100,55.8,9.3,
OLHS,4,Viktor,Complete,,34.08,16.47,25.94,320.1852,156.58,2.044866522,51.15048,14.07042,3.635320054,149.5634,68.56875,2.18121812,0.0925,679.2675,2100,55.8,9.3,
OLHS,5,Viktor,Complete,,38.6,15.99,24.02,318.8718,156.2448,2.040847439,54.36455,15.23286,3.568899734,145.3557,68.10676,2.134233078,0.0952,679.1349,2100,55.8,9.3,
OLHS,6,Viktor,Complete,,35.78,22.25,23.82,317.3739,156.1016,2.03312394,50.46541,14.38816,3.507426245,148.9443,68.41673,2.177015768,0.096,679.0763,2100,55.8,9.3,
OLHS,7,Viktor,Complete,,35.24,23.22,22.67,316.2164,155.7876,2.029791845,50.69093,13.98625,3.624340334,148.8454,68.14612,2.18420946,0.0924,681.1726,2100,55.8,9.3,
OLHS,8,Viktor,Complete,,34.4,19.03,22.84,315.8019,155.7217,2.027989034,50.49453,13.67547,3.692343298,148.3053,67.90757,2.183928831,0.0916,678.6815,2100,55.8,9.3,
OLHS,9,Viktor,Complete,,38.87,22.56,24.2,317.1791,156.7049,2.024053492,52.52596,15.26309,3.441371308,147.503,68.68585,2.147501996,0.092,680.9947,2100,55.8,9.3,
OLHS,10,Viktor,Complete,,40.31,25.33,23.14,319.2201,156.9642,2.033712783,53.3768,15.78602,3.381270263,146.8842,68.63095,2.140203509,0.0928,679.0708,2100,55.8,9.3,
OLHS,11,Viktor,Complete,,36.41,24.96,26.95,317.8408,156.7335,2.027905968,51.89976,14.58919,3.557412029,148.6098,68.72601,2.162351634,0.0912,680.47,2100,55.8,9.3,
OLHS,12,Viktor,Complete,,36.93,17.95,27.24,321,156.617,2.049585933,52.9455,14.95803,3.539603811,148.6361,68.80923,2.160118635,0.0939,679.7406,2100,55.8,9.3,
OLHS,13,Viktor,Complete,,34.23,13.75,26.61,317.9929,156.0664,2.037548761,51.39925,14.05805,3.656214767,148.5705,68.47113,2.169826904,0.0925,679.103,2100,55.8,9.3,
OLHS,14,Viktor,Complete,,40.92,19.89,27.48,319.1079,157.1086,2.031129423,53.55038,15.8739,3.373486037,146.6557,68.67047,2.135644332,0.0939,685.3689,2100,55.8,9.3,
OLHS,15,Viktor,Complete,,37.24,18.36,22.2,318.0308,156.015,2.038462968,53.41972,14.73309,3.625832734,146.1008,67.85747,2.153054041,0.0928,678.9451,2100,55.8,9.3,
OLHS,16,Viktor,Complete,,34.99,13.05,25.25,316.5865,156.3363,2.025035133,51.45312,14.19861,3.62381388,147.776,68.46327,2.15847125,0.0942,678.7829,2100,55.8,9.3,
OLHS,17,Viktor,Complete,9 | .13,36.12,20.35,24.34,317.0967,156.1475,2.030751053,52.0836,14.29111,3.644475482,148.1428,68.21136,2.17182006,0.0923,680.1652,2100,55.8,9.3,
OLHS,18,Viktor,Complete,8 | .10,40.11,17.46,25.41,316.269,156.6977,2.018338495,52.8717,15.76242,3.354288237,145.5507,68.49468,2.124992773,0.0924,679.32223,2100,55.8,9.3,
OLHS,19,Viktor,Complete,7 | .12,36.66,14.22,23.48,316.8516,155.8411,2.033170967,53.34513,14.62623,3.647223516,145.5139,67.8515,2.144593708,0.0929,679.039,2100,55.8,9.3,
OLHS,20,Viktor,Complete,4 | .14,39.7,15.25,21.99,319.8577,156.8182,2.039672053,53.37519,154.5957,0.3452566274,146.5225,68.68268,2.133325316,679.7968,0.0946,2100,55.8,9.3,
OLHS,21,Viktor,Complete,2 | .15,37.73,13.14,24.86,318.5347,156.3908,2.036786691,53.25731,150.7456,0.3532926334,146.5354,68.35795,2.143648252,680.464,0.0934,2100,55.8,9.3,
OLHS,22,Viktor,Not Started,6 |  .22,37.42,21.52,25.74,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,
OLHS,23,,Not Started,,35.85,13.81,27.11,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,
OLHS,24,,Not Started,,39.01,24.27,26.08,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,
OLHS,25,,Not Started,,40.53,22.05,21.77,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,
OLHS,26,,Not Started,,35.43,20.25,21.78,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,
OLHS,27,,Not Started,,35.1,21.15,24.6,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,
OLHS,28,,Not Started,,40.63,24.39,26.74,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,
OLHS,29,,Not Started,,36.3,23.9,24.77,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,
OLHS,30,,Not Started,,38.53,15.05,27.9,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,
OLHS,31,,Not Started,,34.79,14.59,22.37,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,0,