Run Set,Run #,Runner,Status,Remoted Computer,RW AoA 1st (deg),RW AoA 2nd (deg),RW AoA 3rd (deg),RW Move X 1st (mm),RW Move x 2nd (mm),RW Move Z 1st (mm),RW Move Z 2nd (mm),3rd TE Offset (mm),Car Lift (N),Car Drag (N),Rw Lift (N),Rw Drag (N),RW L/D ,Iterations,Time/Iter (s),Total TIme (hr),Notes
Baseline,1,Viktor,Complete,,8.2,26.85,57.08,0.14,4.97,18.38,10.48,30,298.668,144.9425,141.4848,61.58168,2.297514456,2000,171.244,47.56777778,
LHS,2,Tanvi / Viktor,Complete,,5.63,27.65,54.94,-1.1,8.28,21.23,11.54,30,299.7563,143.5228,141.4397,60.41112,2.341285843,2000,53.135,14.75972222,
LHS,3,Pran,Complete,,6.38,24.42,57.04,-0.42,8.92,17.28,9.94,30,296.428,142.497,140.821,59.68,2.359601206,2000,192.32,53.42222222,
LHS,4,Pran,Complete,,10.72,29.12,58.25,-3.06,2.83,17.73,6.66,30,301.069,150.003,145.428,65.587,2.217329654,2000,192.32,53.42222222,
LHS,5,Pran,Complete,,8.1,28.95,55.1,0.22,1.49,20.77,14,30,297.12,144.661,139.436,61.331,2.273499535,2000,192.32,53.42222222,
LHS,6,Pran,Complete,,6.78,23.46,55.27,1.66,5.38,22.31,8.46,30,294.003,140.052,138.246,57.594,2.400354204,2000,192.32,53.42222222,
LHS,7,Pran,Complete,,6.15,28.35,60.04,0.32,3.93,15.02,12.16,30,302.0807,148.72,145.3,64.469,2.253796398,2000,192.32,53.42222222,
LHS,8,Pran,Complete,,9.07,25.07,53.83,3.65,5.02,17.45,12.58,30,290.908,140.0929,135.3044,57.6,2.349034722,2000,192.32,53.42222222,
LHS,9,Pran,Complete,,9.65,29.96,57.95,1.88,7.67,19.13,7.65,30,305.85,149.641,145.069,65.7922,2.204957427,2000,192.32,53.42222222,
LHS,10,Pran,Complete,,7.75,25.25,57.14,2.87,1.71,19.73,11.87,30,296.797,142.487,139.771,59.944,2.331692913,2000,192.32,53.42222222,
LHS,11,Pran,Complete,,7.58,26.79,60.98,-2.41,4.51,16.21,12.46,30,302.4397,148.9515,147.0976,64.94399,2.264991726,2000,192.32,53.42222222,
LHS,12,Pran,Complete,,8.98,30.27,56.91,0.73,6.57,16.3,10.29,30,302.9027,149.1776,146.2568,65.2327,2.242077976,2000,192.32,53.42222222,
LHS,13,Pran,Complete,,8.59,24.18,55.72,-0.67,3.17,16.73,10.05,30,292.475,141.0659,137.0715,58.67784,2.336001121,1991,192.32,52.94142222,
LHS,14,Pran,Complete,,11.12,27.93,58.82,3.68,1.45,20.02,9.63,30,300.7729,147.5386,140.9982,64.04256,2.201632789,1959,192.32,51.23191111,
LHS,15,Pran,Complete,,5.28,30.11,56.01,-1.52,6.33,15.27,14.46,30,304.211,146.314,143.631,62.184,2.309774218,1984,192.32,52.56746667,
LHS,16,Pran,Complete,,6.46,23.57,53.13,-2.05,8.08,16,13.63,30,290.248,136.8011,132.8824,55.34244,2.401093989,1979,192.32,52.30035556,
LHS,17,Pran,Complete,,7.36,22.91,53.58,-3.86,3.82,20.61,12.88,30,289.6312,136.9243,134.0436,55.7813,2.403020367,1959,192.32,51.23191111,
LHS,18,Pran,Complete,,7.87,23.02,54.49,2.08,4.13,19.46,11.94,30,289.6423,137.8147,134.3407,56.37594,2.382943859,1981,192.32,52.4072,
LHS,19,Viktor,Complete,,8.23,29.49,60.91,3.42,8.44,15.43,8.64,30,304.2165,151.3135,147.3936,66.99242,2.20015339,2000,53.135,14.75972222,
LHS,20,Viktor,Complete,,10.86,23.96,54.07,-0.57,7.34,21.55,11.23,30,292.2083,140.3258,136.4667,58.31463,2.340179471,2000,53.135,14.75972222,
LHS,21,Viktor,Complete,,5.65,30.84,60.32,1.34,7.95,21.92,10.5,30,308.7494,150.3602,147.107,66.13841,2.224229461,2000,53.135,14.75972222,
LHS,22,Viktor,Complete,,9.18,27.39,54.56,2.33,8.58,19.83,8.2,30,297.969,143.8668,140.7531,61.07622,2.304548317,2000,53.135,14.75972222,
LHS,23,Viktor,Complete,,8.5,29.8,59.13,2.53,6.15,18.56,10.92,30,245.648,109.6327,98.49305,35.17805,2.799843937,2000,53.135,14.75972222,
LHS,24,Viktor,Complete,,5.97,24.58,53.92,-3.66,2.03,20.28,8.88,30,202.548,92.23079,65.93684,23.50117,2.805683292,2000,53.135,14.75972222,
LHS,25,Viktor,Complete,,8.86,25.28,59.56,4.04,2.61,14.66,14.12,30,247.0983,110.375,101.5281,35.64892,2.847999322,2000,53.135,14.75972222,
LHS,26,Viktor,Complete,,7.3,28,54.69,1.19,4.96,21.59,6.51,30,299.3966,144.7117,141.5536,61.31448,2.308648789,2000,53.135,14.75972222,
LHS,27,Viktor,Complete,,5.88,30.42,57.32,-0.25,6.53,14.47,9.25,30,305.6043,64.22457,145.9952,64.22457,2.273198559,2000,53.135,14.75972222,
LHS,28,Viktor,Complete,,8.75,24.83,55.87,2.01,4.23,15.03,7.33,30,296.497,141.9071,138.1086,59.00427,2.340654329,2000,53.135,14.75972222,
LHS,29,Viktor,Complete,,10.56,23.7,57.47,-3.44,2.31,15.97,8.3,30,295.3277,142.9257,136.6624,59.81169,2.284877756,1721,171.244,34.29636778,
LHS,30,Viktor,Complete,,9.87,28.62,56.33,3.13,5.78,15.54,13.27,30,297.0465,146.2193,139.2785,62.33307,2.234423878,1723,171.244,34.39150333,
LHS,31,Pran,Complete,,9.34,26.23,56.22,-2.47,8.71,16.54,9.45,30,298.707,144.8213,140.7606,61.53934,2.287327098,2000,192.32,53.42222222,
LHS,32,Viktor,Complete,,10.98,25.89,58.95,2.55,5.26,21.83,13.47,30,244.2779,110.513,99.85004,35.78459,2.790308342,1948,171.244,45.09425333,
LHS,33,Viktor,Complete,,6.22,24.1,54.28,3.85,6.76,14.71,12.96,30,292.6078,138.2417,134.4504,56.30318,2.387971692,1940,171.244,44.71371111,
LHS,34,Pran,Complete,,9.46,25.47,57.66,-3.13,5.55,20.99,11.67,30,297.9356,144.3764,138.5203,61.4649,2.25364883,1993,192.32,53.04826667,
LHS,35,Pran,Complete,,10.13,26.9,58.07,2.81,7.44,17.04,14.3,30,297.4035,145.1039,140.2187,62.24693,2.25262033,1969,171.244,46.09317667,
LHS,36,Pran,Complete,,9.54,25.65,59.82,3.22,7.78,18.53,10.32,30,299.3625,147.2125,142.8455,63.40643,2.252855113,2000,192.32,53.42222222,
LHS,37,Viktor,Complete,,10.29,27.11,59.2,-2.68,4.73,20.83,7.15,30,242.5714,110.0337,99.48289,35.2899,2.819018756,1982,171.244,46.71155778,
LHS,38,Pran,Complete,,8.37,30.58,60.66,-0.1,2.14,20.33,13.1,30,307.3805,151.9619,148.4421,67.39818,2.202464518,1965,53.135,14.24313194,
LHS,39,Viktor,Complete,,10.39,28.91,53.53,-1.8,3.46,16.82,6.8,30,297.2027,144.8847,137.3983,60.87802,2.256944296,1697,171.244,33.15474111,
LHS,40,Viktor,Complete,,5.72,23.23,57.81,0,1.14,19.01,13.68,30,293.102,139.8235,135.8927,57.56176,2.360815583,1924,171.244,43.95262667,
LHS,41,Viktor,Complete,,7.04,24.64,59.36,1.51,5.98,21.26,11.34,30,298.3455,144.8197,140.6392,61.37934,2.291311702,1935,171.244,44.47587222,
LHS,42,Viktor,Complete,,8.03,26.13,55.35,-2.76,4.43,18.76,10.71,30,297.5519,142.8322,140.1434,60.3574,2.321892593,1934,171.244,44.42830444,
LHS,43,Viktor,Complete,,5.46,26.64,58.38,0.81,7.02,19.63,12.32,30,299.937,145.2801,144.0663,62.07791,2.320733736,2000,53.135,14.75972222,
LHS,44,Viktor,Complete,,7.18,26.42,56.52,-3.27,1.9,22.11,9.17,30,296.0889,143.6314,138.7832,60.73401,2.28509858,1956,171.244,45.47479556,
LHS,45,Viktor,Complete,,6.58,27.68,55.59,-1.29,7.18,17.12,7.5,30,302.4586,145.9273,142.9904,61.77829,2.314573615,1966,171.244,45.95047333,
LHS,46,Viktor,Complete,,10.12,25.79,60.22,-0.83,3.31,15.81,7.98,30,303.2906,147.3111,142.8299,63.68378,2.242798716,1946,171.244,44.99911778,
LHS,47,Viktor,Complete,,7.7,29.64,58.61,0.52,3.59,17.77,9.83,30,305.1996,149.7949,145.4555,65.3561,2.225584146,1956,171.244,45.47479556,
Set (g) #1,48,Viktor,Complete,,11.12,27.9357,54.8979,-3.86,1.14,14.47,14.46,30,294.983,143.5891,138.7271,61.15298,2.268525589,2000,53.135,14.75972222,
Set (g) #1,49,Viktor,Complete,,5.28,26.2545,59.7139,4.04,8.92,22.31,6.51,30,302.9437,146.5783,144.846,63.25571,2.289848616,2000,53.135,14.75972222,
Set (g) #1,50,Viktor,Complete,,11.12,22.91,53.13,4.04,8.92,14.47,10.0179,30,287.6302,138.2111,133.9118,56.66565,2.36319181,2000,53.135,14.75972222,
Set (g) #1,51,Viktor,Complete,,5.28,30.84,60.98,-3.86,1.14,22.31,14.46,30,306.2263,150.1111,147.304,65.99407,2.232079337,2000,53.135,14.75972222,
Set (c) #1,52,Viktor,Complete,,11.1,25.47,56.8,-2.21,7.58,14.54,12.71,30,297.3863,144.1489,139.9183,61.3435,2.280898547,2000,53.135,14.75972222,
Set (c) #1,53,Viktor,Complete,,10.56,26.96,60.38,-3.35,3.98,16.46,14.28,30,304.4809,148.6109,144.5514,64.99645,2.223989156,2000,53.135,14.75972222,
Set (c) #1,54,Viktor,Complete,,10.28,23.93,56.33,-1.74,2.15,16.02,13.58,30,293.878,141.775,137.8034,59.33125,2.322610766,1955,53.135,14.09553472,
Set (v) #1,55,Viktor,Complete,,5.5,23.3,60.2,-1.09,1.67,18.22,6.56,30,294.5642,143.0132,138.9658,59.88217,2.320654044,1949,53.135,14.00697639,
Set (s) #1,56,Viktor,Complete,,10.98,28.87,54.7,-3.28,2.28,15.93,14.46,30,296.6386,144.7325,138.88683,61.84636,2.245675089,1950,53.135,14.02173611,
Set (s) #1,57,Viktor,Complete,,10.89,28.54,55.51,-3.47,3.56,15.42,14.3,30,300.0203,145.232,139.5166,62.02934,2.249203361,1961,53.135,14.18409306,
Set (g) #2,58,Viktor,Complete,,6.29,30.84,59.61,-3.86,8.92,14.47,14.46,30,305.2481,149.4147,146.2619,65.36714,2.237544736,2000,53.135,14.75972222,
Set (g) #2,59,Viktor,Complete,,6.25,30.84,57.73,4.04,8.92,14.47,6.51,30,306.6742,150.3832,147.2986,65.6516,2.243640673,2000,53.135,14.75972222,
Set (g) #2,60,Viktor,Complete,,7.9,30.84,60.98,1.52,1.14,14.47,6.51,30,308.7821,153.0072,150.7998,68.69665,2.195155077,2000,53.135,14.75972222,
Set (g) #2,61,Viktor,Complete,,7.64,22.91,54.42,1.09,8.92,22.31,14.46,30,292.4002,138.9151,137.3658,57.39139,2.393491428,2000,53.135,14.75972222,
Set (g) #2,62,Viktor,Complete,,8.87,22.91,59.73,-3.86,1.14,22.31,14.46,30,293.878,142.6197,136.7159,60.15941,2.272560519,2000,53.135,14.75972222,
Set (g) #2,63,Viktor,Complete,,8.83,22.91,57.86,4.04,1.14,22.31,6.51,30,292.4074,140.6221,136.4622,58.69895,2.324780937,2000,53.135,14.75972222,
Set (c) #2,64,Viktor,Complete,,7.03,25.11,55.71,-1,8.66,21.66,14.41,30,296.3597,141.683,137.2884,58.90002,2.330871874,2000,53.135,14.75972222,
Set (c) #2,65,Viktor,Complete,,7.15,28.62,56.89,-2.6,8.76,17.34,14.09,30,299.6031,145.5966,137.9478,61.75607,2.233752893,2000,53.135,14.75972222,
Set (c) #2,66,Viktor,Complete,,6.45,30.73,58.03,-3.48,8.41,15.66,13.93,30,303.6599,147.9311,142.8493,64.04252,2.230538399,2000,53.135,14.75972222,
Set (c) #2,67,Viktor,Complete,,5.91,29.1,56.6,-3.77,8.81,14.99,14.15,30,316.4868,151.4564,144.3974,62.29432,2.317986616,2000,53.135,14.75972222,Weird Midwing Jumps and residuals. Like wacky 
Set (g) #3 ,68,Viktor,Complete,,5.28,22.91,60.98,4.04,8.92,14.47,6.51,30,295.7448,142.8107,139.1833,59.471,2.340355804,2000,53.135,14.75972222,
Set (g) #3 ,69,Viktor,Complete,,5.28,22.91,60.98,-0.95,8.92,14.47,14.46,30,296.2417,142.1536,138.8028,59.59327,2.329169049,2000,53.135,14.75972222,
Set (g) #3,70,Viktor,Complete,,11.12,30.84,53.13,2.44,1.14,22.31,6.51,30,299.083,145.221,140.9682,62.46178,2.256871322,2000,53.135,14.75972222,
Set (g) #3,71,Viktor,Complete,,5.28,30.84,60.98,2.51,1.14,22.31,6.51,30,307.1464,151.14109,148.0169,66.68549,2.219626788,2000,53.135,14.75972222,
Set (g) #4,72,Viktor,Complete,,5.28,29.79,60.98,2.04,8.92,14.47,6.51,30,309.0343,151.5472,149.8319,66.73107,2.245309419,2000,53.135,14.75972222,
Set (g) #4,73,Viktor,Complete,,11.12,28.97,53.13,2.96,8.92,14.47,6.51,30,298.819,144.0248,140.7053,61.17191,2.300161953,2000,53.135,14.75972222,
Set (g) #4,74,Viktor,Complete,,10,29,60.98,-0.62,1.14,15.36,6.51,30,304.2876,151.90009,146.4807,67.09663,2.183130509,2000,53.135,14.75972222,
Set (g) #4,75,Viktor,Complete,,5.28,27.02,60.98,-0.75,1.14,22.16,12.15,30,301.7543,146.2387,140.4973,62.97557,2.230980998,2000,53.135,14.75972222,
10 mm Offset Rerun 60,76,Viktor,Complete,,7.9,30.84,60.98,1.52,1.14,14.47,6.51,40,307.72,151.1589,147.8181,57.12495,2.587627648,2000,53.135,14.75972222,
5 mm Offset Rerun 60,77,Viktor,Complete,,7.9,30.84,60.98,1.52,1.14,14.47,6.51,35,304.3333,150.7646,144.2963,66.2858,2.176881021,2000,53.135,14.75972222,
1 mm Offset Rerun 60,78,Viktor,Complete,,7.9,30.84,60.98,1.52,1.14,14.47,6.51,31,306.5787,151.3182,146.8334,66.7915,2.198384525,2000,53.135,14.75972222,
Set (g) #5,79,Viktor,Complete,,11.12,23.24,58.36,-4.86,-1,18.09,15.46,40,295.4991,142.37,137.0736,59.9416,2.286785805,2000,53.135,14.75972222,
Set (g) #5,80,Viktor,Complete,,8.93,22.91,53.13,-0.31,8.92,17.91,15.46,40,291.5103,139.5746,135.4078,57.15209,2.369253688,2000,53.135,14.75972222,
Set (g) #5,81,Viktor,Complete,,8.67,30.69,62.35,-1.69,-1,17.62,6.51,40,308.4353,152.6078,149.9153,68.43656,2.190573284,2000,53.135,14.75972222,
Set (g) #6,82,Viktor,Complete,,7.1,32.84,62.98,-0.35,-1,17.04,6.51,40,307.0642,152.8895,147.6431,68.22193,2.164158944,2000,53.135,14.75972222,
Set (g) #6,83,Viktor,Complete,,5.28,31.08,58.35,4.04,8.92,17.08,6.51,35,307.108,148.8516,146.1118,64.88709,2.251785371,2000,53.135,14.75972222,
Set (g) #6,84,Viktor,Complete,,5.28,30.09,58.92,4.04,8.92,16.15,6.51,40,304.0464,148.674,145.2814,64.25244,2.261103236,2000,53.135,14.75972222,
Set (g) #7,85,Viktor,Complete,,11.12,27.57,62.23,-1.88,-1,13.47,6.51,40,301.2998,148.6134,142.0373,64.57824,2.199460685,2000,53.135,14.75972222,
Set (g) #7,86,Viktor,Complete,,11.12,23.64,54.05,4.04,8.92,13.95,6.51,40,289.79,140.5377,134.3083,58.2023,2.307611555,1884,53.135,13.04759444,Converged Early. heavy seperation on the second
Set (g) #7,87,Viktor,Complete,,9.19,31.48,62.98,-2.14,-1,15.1,6.51,35,308.1224,152.1851,147.24,67.97388,2.166126165,2000,53.135,14.75972222,
Set (g) #8,88,Viktor,Complete,,6.27,30.54,62.98,0.98,-1,18.44,6.51,40,302.8143,149.7167,144.2544,65.7338,2.194523974,2000,53.135,14.75972222,
Set (g) #8,89,Viktor,Complete,,6.82,31.57,62.98,-0.1,-1,18.18,6.51,35,306.2302,151.1558,147.4516,67.05853,2.198849274,2000,53.135,14.75972222,